raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
10	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	fgsea_msigdb_H_entrez	1.17641068524917	0.731605351170569	up	['10006', '10611', '1453', '11214', '1794', '996', '3831', '3799', '6249', '7204', '10163', '998', '5108', '11190', '4627', '6904', '2317', '9181', '4281', '6093', '5829', '667', '7277', '983', '10928', '4739', '4296', '9133', '10160', '675', '4628', '9826', '11064', '4643', '8936', '10435', '357', '11133', '613', '4650', '7153', '10565', '4082', '9344']		False		False	False	10006;10611;1453;11214;1794;996;3831;3799;6249;7204;10163;998;5108;11190;4627;6904;2317;9181;4281;6093;5829;667;7277;983;10928;4739;4296;9133;10160;675;4628;9826;11064;4643;8936;10435;357;11133;613;4650;7153;10565;4082;9344	True		qval	True	missing	False	42	True	48	4	4	11004;10403;9585;9787	KIF2C;NDC80;KIF20B;DLGAP5		10	fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	evidence_perturb	True	1000	True	False	1		0.953125	61	64	computed	0.953125	46196ebd7814	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8583559782608695	0.8973721590909091	0.9516804632074283	0.953125	True	ok	off		M56496282e8f5	False	0.953125	1	1	term_survival:min
11	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	fgsea_msigdb_H_entrez	1.16523346628606	0.731605351170569	up	['10006', '3108', '3091', '7098', '8651', '3592', '3551', '6891', '9734', '5199', '8560', '8767', '3689', '2147', '1520', '3976', '7535', '7097', '920', '8915', '2069', '3569', '672', '5551', '2213', '6059', '3560', '4050', '3111', '92', '3558', '3561', '3112', '972', '3606', '894', '3553', '4067', '3937', '2113', '1029', '7186', '3683', '8444', '8477', '3459', '3566', '3574', '6357', '3559']		False		False	False	10006;3108;3091;7098;8651;3592;3551;6891;9734;5199;8560;8767;3689;2147;1520;3976;7535;7097;920;8915;2069;3569;672;5551;2213;6059;3560;4050;3111;92;3558;3561;3112;972;3606;894;3553;4067;3937;2113;1029;7186;3683;8444;8477;3459;3566;3574;6357;3559	True		qval	True	missing	False	42	True	53	3	3	6223;1984;3135	RPS19;EIF5A;HLA-G		11	fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	evidence_perturb	True	1000	True	False	1		0.984375	63	64	computed	0.984375	de4a84d3f7a5	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8665865384615384	0.90125	0.9574182302864805	0.984375	True	ok	off		M8fdbd2339311	False	0.9375	6	6	term_survival:min
12	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	fgsea_msigdb_H_entrez	1.14610064569502	0.731605351170569	up	['4855', '7471', '10014', '2648', '8321', '7475', '894', '1454', '2770', '5664']		False		False	False	4855;7471;10014;2648;8321;7475;894;1454;2770;5664	True		qval	True	missing	False	42	True	10	0	0				12	fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	evidence_perturb	True	1000	True	False	1		0.984375	63	64	computed	0.984375	4190d569e122	0.984375	0.734375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8984375	0.8984375	1.0	0.984375	True	ok	off		M7b51a6775249	False	0.984375	1	1	term_survival:min
13	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	fgsea_msigdb_H_entrez	1.13978951454362	0.731605351170569	up	['10006', '5008', '3091', '7098', '5817', '366', '1839', '1318', '5663', '2773', '8767', '3976', '7130', '7097', '2069', '3569', '4891', '4061', '3560', '3576', '5739', '3696', '92', '719', '3606', '3553', '8877', '4067', '1240', '3937', '5027', '490', '6717', '5732', '2769', '3656', '10316', '4790', '6004', '3601', '3566', '9180', '8519', '8743', '4210', '3738', '958', '3386', '9153', '6401', '3690', '3593', '5970', '4224', '1536', '7162', '7076', '5329', '3554', '6541', '3627', '3454', '2152', '4693', '6352', '196', '4084', '6506', '9435', '3575', '1906']		False		False	False	10006;5008;3091;7098;5817;366;1839;1318;5663;2773;8767;3976;7130;7097;2069;3569;4891;4061;3560;3576;5739;3696;92;719;3606;3553;8877;4067;1240;3937;5027;490;6717;5732;2769;3656;10316;4790;6004;3601;3566;9180;8519;8743;4210;3738;958;3386;9153;6401;3690;3593;5970;4224;1536;7162;7076;5329;3554;6541;3627;3454;2152;4693;6352;196;4084;6506;9435;3575;1906	True		qval	True	missing	False	42	True	71	0	0				13	fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	evidence_perturb	True	1000	True	False	1		0.984375	63	64	computed	0.984375	189c11f78d37	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.856875	0.905149647887324	0.9413210892404034	0.984375	True	ok	off		M8fdbd2339311	False	0.9375	6	6	term_survival:min
14	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	fgsea_msigdb_H_entrez	1.13735008023146	0.731605351170569	up	['1515', '4855', '3796', '4321', '801', '2764', '3697', '5663', '5155', '2773', '2147', '1520', '5359', '2783', '3075', '337', '3569', '710', '6935', '11216', '5327', '1465', '1378', '5292', '1509', '2534', '842', '10404', '5698', '4067', '3937', '1848', '1519', '8754', '5550', '9101', '3920', '1356']		False		False	False	1515;4855;3796;4321;801;2764;3697;5663;5155;2773;2147;1520;5359;2783;3075;337;3569;710;6935;11216;5327;1465;1378;5292;1509;2534;842;10404;5698;4067;3937;1848;1519;8754;5550;9101;3920;1356	True		qval	True	missing	False	42	True	39	1	1	3309	HSPA5		14	fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	evidence_perturb	True	1000	True	False	1		0.96875	62	64	computed	0.96875	14e5846a317b	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8578125	0.9029605263157894	0.9447785955716683	0.96875	True	ok	off		M3c49519fd455	False	0.96875	2	2	term_survival:min
15	HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	fgsea_msigdb_H_entrez	1.13279087373862	0.731605351170569	up	['7145', '2908', '4259', '8991', '996', '2993', '9091', '2994', '8867', '5498', '4891', '682', '7037', '4329', '3045', '7150', '8364', '644', '8974', '1182', '6513', '4005', '669', '2057', '3920', '2996', '1371', '8301', '440', '286', '2995', '212', '7716', '10841', '3386', '6006', '6397', '10840', '1039', '4601', '10661']		False		False	False	7145;2908;4259;8991;996;2993;9091;2994;8867;5498;4891;682;7037;4329;3045;7150;8364;644;8974;1182;6513;4005;669;2057;3920;2996;1371;8301;440;286;2995;212;7716;10841;3386;6006;6397;10840;1039;4601;10661	True		qval	True	missing	False	42	True	41	0	0				15	fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	evidence_perturb	True	1000	True	False	1		0.96875	62	64	computed	0.96875	fe9c4bc902f3	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8571947674418603	0.8990091463414633	0.9483852237604	0.96875	True	ok	off		M46817348aa0d	False	0.96875	1	1	term_survival:min
16	HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	fgsea_msigdb_H_entrez	1.12478586135186	0.731605351170569	up	['10399', '10397', '9618', '3265', '8651', '1839', '8812', '3976', '1606', '1030', '3275', '3945', '9883', '5429', '3872', '5154', '4013', '9538', '10560', '1509', '894', '8877', '10057', '9738', '4193', '3691', '3162', '1029', '8626', '10458', '6004', '2872', '5268']		False		False	False	10399;10397;9618;3265;8651;1839;8812;3976;1606;1030;3275;3945;9883;5429;3872;5154;4013;9538;10560;1509;894;8877;10057;9738;4193;3691;3162;1029;8626;10458;6004;2872;5268	True		qval	True	missing	False	42	True	33	0	0				16	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	evidence_perturb	True	1000	True	False	1		0.9375	60	64	computed	0.9375	bbbc2766a26d	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8366071428571428	0.8873106060606061	0.9358936748520841	0.9375	True	ok	off		M5c370b13e78b	False	0.9375	1	1	term_survival:min
17	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	fgsea_msigdb_H_entrez	-1.10267714760911	0.731605351170569	down	['324', '2339', '3399', '1028', '8412', '657']		False		False	False	324;2339;3399;1028;8412;657	True		qval	True	missing	False	42	True	6	0	0				17	fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	evidence_perturb	True	1000	True	False	1		0.875	56	64	computed	0.875	606b48b7daa8	0.875	0.4375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9036458333333334	0.9036458333333334	1.0	0.875	True	ok	off		Mef9fa9f7c69d	False	0.875	1	1	term_survival:min
18	HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	fgsea_msigdb_H_entrez	1.09279354374607	0.731605351170569	up	['1634', '1611', '5663', '2065', '3482', '2147', '5058', '10059', '8915', '2069', '3456', '3569', '672', '5534', '5551', '2878', '637', '2944', '5327', '7049', '5747', '6093', '4744', '3606', '894', '842', '3553', '3489', '599', '2026', '2769', '3162', '4739', '839', '3459', '8682', '8743', '5664', '6648', '840', '5970', '9890', '2879', '3875']		False		False	False	1634;1611;5663;2065;3482;2147;5058;10059;8915;2069;3456;3569;672;5534;5551;2878;637;2944;5327;7049;5747;6093;4744;3606;894;842;3553;3489;599;2026;2769;3162;4739;839;3459;8682;8743;5664;6648;840;5970;9890;2879;3875	True		qval	True	missing	False	42	True	44	0	0				18	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	evidence_perturb	True	1000	True	False	1		1.0	64	64	computed	1.0	99312f4afa7f	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8678668478260869	0.9073153409090909	0.9522013584669118	1.0	True	ok	off		Mb4463251ade5	False	1.0	1	1	term_survival:min
19	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	fgsea_msigdb_H_entrez	1.06905300482367	0.731605351170569	up	['4191', '37', '4259', '4942', '3418', '10989', '5447', '498', '1632', '2746', '7419', '8402', '2110', '4709', '9296', '3945', '4329', '1666', '481', '7416', '7384', '5162', '4695', '4696', '10063', '4723', '10440', '1340', '10449', '2395', '292', '293', '9551', '22', '4722', '4701', '2108', '1528', '11331', '840', '9617', '2879', '9131', '5160', '4697', '1355', '8992', '4724', '2271', '5166', '4717']		False		False	False	4191;37;4259;4942;3418;10989;5447;498;1632;2746;7419;8402;2110;4709;9296;3945;4329;1666;481;7416;7384;5162;4695;4696;10063;4723;10440;1340;10449;2395;292;293;9551;22;4722;4701;2108;1528;11331;840;9617;2879;9131;5160;4697;1355;8992;4724;2271;5166;4717	True		qval	True	missing	False	42	True	51	0	0				19	fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	evidence_perturb	True	1000	True	False	1		0.984375	63	64	computed	0.984375	8921cab00551	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8530092592592593	0.903186274509804	0.9386997217826896	0.984375	True	ok	off		M32e36065becc	False	0.953125	2	2	term_survival:min
20	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	fgsea_msigdb_H_entrez	1.0636800817417	0.731605351170569	up	['5468', '5359', '2224', '10957', '1717', '9415', '6319', '875', '2194', '5165', '7108', '10654', '2770', '3156', '3157', '4598', '20', '3422']		False		False	False	5468;5359;2224;10957;1717;9415;6319;875;2194;5165;7108;10654;2770;3156;3157;4598;20;3422	True		qval	True	missing	False	42	True	18	0	0				20	fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	evidence_perturb	True	1000	True	False	1		0.90625	58	64	computed	0.90625	cd79fb58d7c5	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8601973684210527	0.9079861111111112	0.9420266256173523	0.90625	True	ok	off		M19120cf71b7a	False	0.90625	3	3	term_survival:min
21	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	fgsea_msigdb_H_entrez	-1.05318328024499	0.731605351170569	down	['6897', '1051', '4848', '7534', '7494', '8602', '4869']		False		False	False	6897;1051;4848;7534;7494;8602;4869	True		qval	True	missing	False	42	True	8	1	1	9775	EIF4A3		21	fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	evidence_perturb	True	1000	True	False	1		0.9375	60	64	computed	0.9375	e8b97b548b84	0.9375	0.5625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.875	0.875	1.0	0.9375	True	ok	off		M0b00848ce209	False	0.9375	1	1	term_survival:min
22	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	fgsea_msigdb_H_entrez	-1.05079365563816	0.731605351170569	down	['3659', '11054', '3437', '3600', '3429', '6373', '716', '834', '3431', '3430', '9111', '7318', '3669']		False		False	False	3659;11054;3437;3600;3429;6373;716;834;3431;3430;9111;7318;3669	True		qval	True	missing	False	42	True	13	0	0				22	fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	evidence_perturb	True	1000	True	False	1		0.875	56	64	computed	0.875	89984e71591d	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8392857142857142	0.9038461538461539	0.9208301247363748	0.875	True	ok	off		M38ddc7ba32d8	False	0.875	1	1	term_survival:min
23	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	fgsea_msigdb_H_entrez	-1.04517301477667	0.731605351170569	down	['10351', '3992', '6647', '1593', '866', '335', '847', '8412', '21', '6718', '5827', '225', '8800']		False		False	False	10351;3992;6647;1593;866;335;847;8412;21;6718;5827;225;8800	True		qval	True	missing	False	42	True	13	0	0				23	fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	evidence_perturb	True	1000	True	False	1		0.875	56	64	computed	0.875	4e0990d8bb61	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.828125	0.8918269230769231	0.9198867972305473	0.875	True	ok	off		M90e215b7c271	False	0.875	1	1	term_survival:min
